,name,url,description,type
0,General chat,https://www.whitedate.net/dating-site-for-white-people-groups/general-chat/,"A group where people can reach out to each other to connect and create a bond with the community.  Everybody is welcome in this group, so join in.Feel free to make a topic and start the conversation",Public Group
1,well become extinct soon if we do nothing,https://www.whitedate.net/dating-site-for-white-people-groups/we-will-extinct-soon-if-we-do-nothing/,"this is what i have learn, this group is more some of my analysis concerning the dating world and especially my very specific research,some few collected datas,intels,infos and my personnal reflections,seen has []",Public Group
2,White Delight Germany,https://www.whitedate.net/dating-site-for-white-people-groups/white-delight-germany/,Subscribe here if you wish to participate in or organize local leisure events. We will create sub-groups and appoint administrators as soon as geographical clusters appear. We imagine events such as discussion [],Public Group
3,The Divine Masculine & Feminine,https://www.whitedate.net/dating-site-for-white-people-groups/the-divine-masculine-feminine/,A philosophical discussion of the Man of Tradition & Woman of Tradition.,Public Group
4,White Watch Germany,https://www.whitedate.net/dating-site-for-white-people-groups/white-watch-germany/,"Join if you wish to help build a community of people interested in self-defense and survival skills: MMA teachers, hunters, preppers etc.With our societies getting increasingly unsafe and the economic system []",Public Group
5,Phoenix Rising,https://www.whitedate.net/dating-site-for-white-people-groups/phoenix-rising/,"Phoenix Rising is the home of Purebloodnot-dysgenic-GMO/not-vaxd-post-2019White Tribalists. We are the Decentralized Rsistance against the Synagogue of Satan (S0S), we seek to Transcend the fall of Wester []",Public Group
6,Vernetzung in Deutschland,https://www.whitedate.net/dating-site-for-white-people-groups/vernetzung-in-deutschland/,Hier knnt Ihr Euch vernetzen.,Public Group
7,The right one,https://www.whitedate.net/dating-site-for-white-people-groups/the-right-one/,"Making your standards understood, sharing the same ideals intentions.",Public Group
8,Rh-,https://www.whitedate.net/dating-site-for-white-people-groups/rh/,"Rhesus negative blood exists predominantly in white race and just like us, is disappearing at an alarming rate. A Rh- mothers body will try to kill a Rh+ child in her womb if not administered a RhoGAM []",Public Group
9,Odenic Rite,https://www.whitedate.net/dating-site-for-white-people-groups/odenic-rite/,A group for us so called pagans the Odinists. Join now and Ill cast the runes for you.,Public Group
10,Dating Strategy and Etiquette,https://www.whitedate.net/dating-site-for-white-people-groups/dating-strategy-and-etiquette/,Please sign up everybody who is interested in learning about how to behave during the dating phase. Post your questions in the forum and we will try to answer.,Public Group
11,Cat Lovers,https://www.whitedate.net/dating-site-for-white-people-groups/cat-lovers/,Who loves cats? Because I do.,Public Group
12,How to build White Communities,https://www.whitedate.net/dating-site-for-white-people-groups/how-to-build-white-communities/,There is a need for a New White Strategy when it comes to community building. Whites are naturally more individualistic and less nepotistic than other groups. This needs to change. How we can reset our minds and [],Public Group
13,White Delight UK,https://www.whitedate.net/dating-site-for-white-people-groups/white-delight-uk/,Subscribe here if you wish to participate in or organize local leisure events. We will create sub-groups and appoint administrators as soon as geographical clusters appear. We imagine events such as discussion [],Public Group
14,Dog Lovers,https://www.whitedate.net/dating-site-for-white-people-groups/dog-lovers/,How is there a Cat Lover group without there being a Dog group?,Public Group
15,Konige Europas,https://www.whitedate.net/dating-site-for-white-people-groups/konige-europas/,"The group for people who want to share their tales of action, travel, and adventure, and just being German.",Public Group
16,White Watch Italy,https://www.whitedate.net/dating-site-for-white-people-groups/white-watch-italy/,"Join if you wish to help build a community of people interested in self-defense and survival skills: MMA teachers, hunters, preppers etc.With our societies getting increasingly unsafe and the economic system []",Public Group
17,Whites health,https://www.whitedate.net/dating-site-for-white-people-groups/whites-health/,"All about real health. We have woken upFood, sport, natural medecines, mental health, ",Public Group
18,White Delight France,https://www.whitedate.net/dating-site-for-white-people-groups/white-delight-france/,Subscribe here if you wish to participate in or organize local leisure events. We will create sub-groups and appoint administrators as soon as geographical clusters appear. We imagine events such as discussion [],Public Group
19,Overcoming Cowardice  how White Men can get their balls back and how White Women can help,https://www.whitedate.net/dating-site-for-white-people-groups/overcoming-cowardice-how-white-men-can-get-their-balls-back-and-how-white-women-can-help/,We live at the greatest time in Mankinds History. Creature comforts abound and access to high living standards has never been easier. This advancement has come at a cost;  the atrophy of ruggedness.Weak Men [],Public Group
20,Summer 22,https://www.whitedate.net/dating-site-for-white-people-groups/summer-22/,New to the site. Seeing who all is active or if this place is in hibernation.,Public Group
21,Learners and Enthusiasts of European Languages,https://www.whitedate.net/dating-site-for-white-people-groups/learners-or-enthusiasts-of-european-languages/,"Join this group if you hold an interest in or are currently studying one of the many beautiful European languages! This is a place in which you can share tips, discuss effective ways of learning, etc.Treten Sie []",Public Group
22,White Watch Canada,https://www.whitedate.net/dating-site-for-white-people-groups/white-watch-canada/,"Join if you wish to help build a community of people interested in self-defense and survival skills: MMA teachers, hunters, preppers etc.With our societies getting increasingly unsafe and the economic system []",Public Group
23,White Delight US,https://www.whitedate.net/dating-site-for-white-people-groups/white-delight-us/,Subscribe here if you wish to participate in or organize local leisure events. We will create sub-groups and appoint administrators as soon as geographical clusters appear. We imagine events such as discussion [],Public Group
24,White America,https://www.whitedate.net/dating-site-for-white-people-groups/white-america/,A group that focuses on the quality of life for White Americans while reaching out to all of our brothers and sisters around the world.,Public Group
25,White Watch US,https://www.whitedate.net/dating-site-for-white-people-groups/white-watch-us/,"Join if you wish to help build a community of people interested in self-defense and survival skills: MMA teachers, hunters, preppers etc.With our societies getting increasingly unsafe and the economic system []",Public Group
26,White Ladies Chat Group,https://www.whitedate.net/dating-site-for-white-people-groups/white-ladies-chat-group/,A place where we can talk freely and exchange best practices about how to find the right man and how to keep him.,Public Group
27,BlackShirts & BrownShirts,https://www.whitedate.net/dating-site-for-white-people-groups/blackshirts-brownshirts/,Group for Fascist ( blackshirts) and National Socialists (brownshirts) and all right leaning brothers & Sisters that are sick of being banned from the usual social media sites run by ZOG (Zionist Controlled Govt) [],Public Group
28,"Kommerz, oder wie man mit Firmen, die Staatlichkeit simulieren, kommuniziert",https://www.whitedate.net/dating-site-for-white-people-groups/kommerzgruppe-deutschland/,"Zur lokalen Vernetzung von Leuten, die sich das System auf Armeslnge halten wollen und sowohl den Unterschied zwischen Mann/ Weib und Herr/Frau als auch die Bedeutung von natrlichen und juristischen Personen a []",Private Group
29,Test Group,https://www.whitedate.net/dating-site-for-white-people-groups/test-group/,For admin and developers only.,Private Group
30,Varg & Marie Appreciation,https://www.whitedate.net/dating-site-for-white-people-groups/varg-marie-appreciation/,Varg Vikernes and Marie Cachet appreciation group.Permaganism.com,Public Group
31,Womens Corner,https://www.whitedate.net/dating-site-for-white-people-groups/womens-corner-813168012/,A Group for Ladies to Chat  ,Public Group
32,White Watch UK,https://www.whitedate.net/dating-site-for-white-people-groups/white-watch-uk/,"Join if you wish to help build a community of people interested in self-defense and survival skills: MMA teachers, hunters, preppers etc.With our societies getting increasingly unsafe and the economic system []",Public Group
33,NordischByNature,https://www.whitedate.net/dating-site-for-white-people-groups/nordicbynature/,"Fr Norddeutsche und solche, die sich dazugehrig fhlen. SH, HH, NI, MV, zum Tanzen, Singen, Wandern, Tontauben schieen, oder was uns sonst noch so einfllt.Sobald sich hier gengend Leute zusam []",Public Group
34,Norddeutsche Singles,https://www.whitedate.net/dating-site-for-white-people-groups/norddeutsche-singles/,Diese Gruppe ist fr Norddeutsche und fr deren Freunde.,Public Group
35,Music,https://www.whitedate.net/dating-site-for-white-people-groups/music/,"Music by white composers; past, present, future.",Public Group
36,Pacifist Ethnopluralism Germany,https://www.whitedate.net/dating-site-for-white-people-groups/pacifist-ethnopluralism-germany/,"The idea arose from my adventures in the right-wing scene. I realized that, as a religious person, I am simply a reverent of my ancestors and a lover of my white racial genes, yet I completely distance myself []",Public Group
37,Otakus unite!,https://www.whitedate.net/dating-site-for-white-people-groups/otakus-unite/,Fans of anime or animation in general?Like anime? Like cartoons? Like Disney movies and can mouth the words to every single movie? Thats cool with me. I figured a group would be the best way to pool together [],Public Group
38,Best White films,https://www.whitedate.net/dating-site-for-white-people-groups/best-white-films/,I dont think any of us here are big hollywood fans.  I made the group to see suggestions from fellow whites to better quality shows I havent heard of. My favorite non documentary would have to be The Last Samuri,Public Group
39,White attack needed,https://www.whitedate.net/dating-site-for-white-people-groups/white-attack-needed/,This group is to facilitate White Pride and White Power. Whites decided to stop winning and start apologizing for their very existence. This should be reversed. Whites must keep the following truths in mind:1. [],Public Group
40,White Watch France,https://www.whitedate.net/dating-site-for-white-people-groups/white-watch-france/,"Join if you wish to help build a community of people interested in self-defense and survival skills: MMA teachers, hunters, preppers etc.With our societies getting increasingly unsafe and the economic system []",Public Group
41,Pro-White Financial Advice,https://www.whitedate.net/dating-site-for-white-people-groups/pro-white-financial-advice/,Providing each other with useful advice to help in monetary and financial matters (no matter how big or small),Public Group
42,The northwest front,https://www.whitedate.net/dating-site-for-white-people-groups/the-northwest-front/,"This is not a group that you join, the group joins you; if your intentions are the secure existence of our people and a future for white children, congratulations, your already one of us.I am taking the []",Public Group
43,White Delight Canada,https://www.whitedate.net/dating-site-for-white-people-groups/white-delight-canada/,Subscribe here if you wish to participate in or organize local leisure events. We will create sub-groups and appoint administrators as soon as geographical clusters appear. We imagine events such as discussion [],Public Group
44,Natural Health,https://www.whitedate.net/dating-site-for-white-people-groups/natural-health/,"Share about all things natural health related: nutrition, hunting, foraging, animal husbandry, gardening, health practices",Public Group
45,White Watch Netherlands,https://www.whitedate.net/dating-site-for-white-people-groups/white-watch-netherlands/,"Join if you wish to help build a community of people interested in self-defense and survival skills: MMA teachers, hunters, preppers etc.With our societies getting increasingly unsafe and the economic system []",Public Group
46,Positive Photography,https://www.whitedate.net/dating-site-for-white-people-groups/positive-photography-565096932/,"This world we have inherited from our ancestors can be scary at times, I fear at times what is to come. We are flooded with bad news daily, and witness our decline even more intensely every year. This is for []",Public Group
47,White Delight Portugal,https://www.whitedate.net/dating-site-for-white-people-groups/white-delight-norway-1063262580/,A group for Portuguese people to embrace their culture heritage and country.,Public Group
48,White Delight Netherlands,https://www.whitedate.net/dating-site-for-white-people-groups/white-delight-netherlands/,Subscribe here if you wish to participate in or organize local leisure events. We will create sub-groups and appoint administrators as soon as geographical clusters appear. We imagine events such as discussion [],Public Group
49,White Delight Belgium,https://www.whitedate.net/dating-site-for-white-people-groups/white-delight-belgium/,Subscribe here if you wish to participate in or organize local leisure events. We will create sub-groups and appoint administrators as soon as geographical clusters appear. We imagine events such as discussion [],Public Group
50,White Delight Australia,https://www.whitedate.net/dating-site-for-white-people-groups/white-delight-australia/,Subscribe here if you wish to participate in or organize local leisure events. We will create sub-groups and appoint administrators as soon as geographical clusters appear. We imagine events such as discussion [],Public Group
51,Conservative Christian Identity,https://www.whitedate.net/dating-site-for-white-people-groups/conservative-christian-identity/,A group for Christian Identity/Anglo Israel singles can meet and mingle. Please no inappropriate language and please conduct yourselves as ladies and gentlemen. The eyes of our Heavenly Father are upon us!,Public Group
52,White Watch Norway,https://www.whitedate.net/dating-site-for-white-people-groups/white-watch-norway/,"Join if you wish to help build a community of people interested in self-defense and survival skills: MMA teachers, hunters, preppers etc.With our societies getting increasingly unsafe and the economic system []",Public Group
53,White Delight Sweden,https://www.whitedate.net/dating-site-for-white-people-groups/white-delight-sweden/,Subscribe here if you wish to participate in or organize local leisure events. We will create sub-groups and appoint administrators as soon as geographical clusters appear. We imagine events such as discussion [],Public Group
54,White Delight Norway,https://www.whitedate.net/dating-site-for-white-people-groups/white-delight-norway/,Subscribe here if you wish to participate in or organize local leisure events. We will create sub-groups and appoint administrators as soon as geographical clusters appear. We imagine events such as discussion [],Public Group
55,White Watch Sweden,https://www.whitedate.net/dating-site-for-white-people-groups/white-watch-sweden/,"Join if you wish to help build a community of people interested in self-defense and survival skills: MMA teachers, hunters, preppers etc.With our societies getting increasingly unsafe and the economic system []",Public Group
56,White Watch Australia,https://www.whitedate.net/dating-site-for-white-people-groups/white-watch-australia/,"Join if you wish to help build a community of people interested in self-defense and survival skills: MMA teachers, hunters, preppers etc.With our societies getting increasingly unsafe and the economic system []",Public Group
57,Shitposting,https://www.whitedate.net/dating-site-for-white-people-groups/shitposting/,We do a little trolling.,Public Group
58,Christians,https://www.whitedate.net/dating-site-for-white-people-groups/christians/,"A place where Christian users may discuss, ask for praying, study Bible and share their beliefs and experiences in walking with Christ on this Earth. God bless you!",Public Group
59,Entrepreneurs,https://www.whitedate.net/dating-site-for-white-people-groups/entrepreneurs/,"Prosperity, free market, investment, business building and a vision for success.",Public Group
60,Catholic for Catholic,https://www.whitedate.net/dating-site-for-white-people-groups/catholic-for-catholic/,"As the great Anglo-French historian Hilaire Belloc pointed out, it is the religion that makes the culture. If you change the religion, you change the culture. A white renewal will need unity of faith, for all []",Public Group
61,ROMA AETERNA,https://www.whitedate.net/dating-site-for-white-people-groups/roma-aeterna/,"For those coming from the greatest Empire to rule over EVROPA, also welcoming all the Mediterranean races to participate.",Public Group
62,HessischByNature,https://www.whitedate.net/dating-site-for-white-people-groups/hessischbynature/,"Die Gruppe fr alle Hessen (oder auch allgemeiner Westdeutsche) und die, die die deutsche/europische Kultur wieder hochleben lassen und feiern wollen  und sich der ganzen Umerziehungspropaganda aktiv w []",Private Group
63,Paris AltRight Discussion Group,https://www.whitedate.net/dating-site-for-white-people-groups/paris-altright-discussion-group/,"For red-pilled French and Expats living in Paris who wish to meet other frogs in real life. We could just meet for coffee, drinks, discussing AltRight subjects.",Public Group
64,Website enhancing + bug squashing,https://www.whitedate.net/dating-site-for-white-people-groups/website-enhancing-bug-squashing/,This Group is solely to resolve website bugs and discussing ways to improve the site.,Public Group
65,White Watch Belgium,https://www.whitedate.net/dating-site-for-white-people-groups/white-watch-belgium/,"Join if you wish to help build a community of people interested in self-defense and survival skills: MMA teachers, hunters, preppers etc.With our societies getting increasingly unsafe and the economic system []",Public Group
66,Texans!,https://www.whitedate.net/dating-site-for-white-people-groups/texans/,This group is for Pro-Whites in the Texas area (close surrounding states would do to). Ideally this group should be used to communicate with like minded individuals within a close geographic radius. Does not need [],Public Group
67,White Delight Denmark,https://www.whitedate.net/dating-site-for-white-people-groups/white-delight-denmark/,Subscribe here if you wish to participate in or organize local leisure events. We will create sub-groups and appoint administrators as soon as geographical clusters appear. We imagine events such as discussion [],Public Group
68,Eastern Europe & Balkan General,https://www.whitedate.net/dating-site-for-white-people-groups/eastern-europe-balkan-general/,"Since I couldnt find any group for fellow eastern european members, I decided to start a group for the few of us here. If youre eastern european, balkanite, or east slavic in general, feel free to join this []",Public Group
69,AKP,https://www.whitedate.net/dating-site-for-white-people-groups/american-kulak-project-298746400/,Our goal at AKP is to create a network of financial institutions and communities.,Private Group
70,Test 2025,https://www.whitedate.net/dating-site-for-white-people-groups/test-2025/,This is a Test Group,Public Group
71,White Watch South Africa,https://www.whitedate.net/dating-site-for-white-people-groups/white-watch-south-africa/,"Join if you wish to help build a community of people interested in self-defense and survival skills: MMA teachers, hunters, preppers etc.With our societies getting increasingly unsafe and the economic system []",Public Group
72,White Delight South Africa,https://www.whitedate.net/dating-site-for-white-people-groups/white-delight-south-africa/,Subscribe here if you wish to participate in or organize local leisure events. We will create sub-groups and appoint administrators as soon as geographical clusters appear. We imagine events such as discussion [],Public Group
73,"Okanagan,  British Columbia, Canada",https://www.whitedate.net/dating-site-for-white-people-groups/okanagan-british-columbia-canada/,"A group for Pure White, White Nationalist, National Socialists, Christian Identity, un-vaxxed, ect. individuals. Doesnt matter your age, its time to actually get to know each other locally!",Public Group
74,Eurodescendentes (Brasil),https://www.whitedate.net/dating-site-for-white-people-groups/eurodescendentes-brasil/,Um espao onde brasileiros brancos podem se expressar livremente.,Public Group
75,Alaska FirstAmerica Next,https://www.whitedate.net/dating-site-for-white-people-groups/alaska/,"Welcome White Nationalist Libertarians (WNLs) who support the Alaska First Plan (AFP). What is the AFP? Sufficient to say, it proposes that ideologically compatible Whites migrate en-masse to Alaskaespecially t []",Public Group
76,WhiteDate Defenders,https://www.whitedate.net/dating-site-for-white-people-groups/whitedate-defenders/,"WhiteDate Defenders are community members of WhiteDate.net who are passionate about safe-guarding the pro-White cause, as a lifestyle, while making every effort to expand our dating pool worldwide  primarily []",Public Group
77,NS community uk,https://www.whitedate.net/dating-site-for-white-people-groups/ns-community-uk/,Im a national socialist in the uk looking to network with other fellow NS Im an ex activist myself but Ive kept my head down for a few years by all means join and talk to your hearts content but anyone grilling [],Private Group
78,New Hampshire and Mainely White,https://www.whitedate.net/dating-site-for-white-people-groups/new-hampshire-and-mainely-white/,This group is for like minded people in New Hampshire and Maine.,Public Group
79,White Delight New England,https://www.whitedate.net/dating-site-for-white-people-groups/white-delight-new-england/,A group for white New Englanders to connect on. Find their possible sole mates or just to make friends.,Public Group
80,White Delight Italy,https://www.whitedate.net/dating-site-for-white-people-groups/white-delight-italy/,Subscribe here if you wish to participate in or organize local leisure events. We will create sub-groups and appoint administrators as soon as geographical clusters appear. We imagine events such as discussion [],Public Group
81,White Delight Ireland,https://www.whitedate.net/dating-site-for-white-people-groups/white-delight-ireland/,Subscribe here if you wish to participate in or organize local leisure events. We will create sub-groups and appoint administrators as soon as geographical clusters appear. We imagine events such as discussion [],Public Group
82,White Watch Denmark,https://www.whitedate.net/dating-site-for-white-people-groups/white-watch-denmark/,"Join if you wish to help build a community of people interested in self-defense and survival skills: MMA teachers, hunters, preppers etc.With our societies getting increasingly unsafe and the economic system []",Public Group
83,Fash Flash in the Dirty South (US  VA and Surrounding),https://www.whitedate.net/dating-site-for-white-people-groups/fash-flash-in-the-dirty-south-us-va-and-surrounding/,"Group for fascists looking to make fascist families in the South to proliferate the ideals of white power, anti-zionism and Christian morals.  A place to find love that lasts with like-minded, (opposite sexed) people.",Public Group
84,Sophianic Myth Dialogues & Dreams,https://www.whitedate.net/dating-site-for-white-people-groups/sophianic-myth-dialouges-dreams/,Human Animals who have already realized much of deceptions.Therefore are in dialogue with and about Sophia & our awakening.Also wish to network with positive ideas + form good connections in harmony with [],Private Group
85,Ethnos Southern California,https://www.whitedate.net/dating-site-for-white-people-groups/ethnos-southern-california/,"At this point, just a gathering of Europeans in Southern California. I hope to keep philosophy out of it other than racial awareness and pride until things get going. Christians, Fascists, Pagans, Libertarians and []",Private Group
86,Alt-right women of Vancouver,https://www.whitedate.net/dating-site-for-white-people-groups/alt-right-women-of-vancouver/,Meet-up group for women from Vancouver area.,Public Group
87,White Watch Ireland,https://www.whitedate.net/dating-site-for-white-people-groups/white-watch-ireland/,"Join if you wish to help build a community of people interested in self-defense and survival skills: MMA teachers, hunters, preppers etc.With our societies getting increasingly unsafe and the economic system []",Public Group
88,Crimson Thread  which are the ties that will bind?,https://www.whitedate.net/dating-site-for-white-people-groups/crimson-thread-which-are-the-ties-that-will-bind/,"von Goethe stated:  Knowing is not enough; we must apply. Willing is not enough; we must do. This groups intent is to develop a set of unifying principles which whites, despite their diverse backgrounds all []",Public Group
89,New York Meetup,https://www.whitedate.net/dating-site-for-white-people-groups/new-york-meetup/,Looking to meet based women and alpha men in New York.,Public Group
90,Toronto Meetup,https://www.whitedate.net/dating-site-for-white-people-groups/toronto-meetup/,This group is to see if there is potential for Toronto area meetups for friends or dating. If we get enough people interested we can plan something safely.,Private Group
91,Florida General!,https://www.whitedate.net/dating-site-for-white-people-groups/florida-general/,"Particularly Florida men and women but other southerners  welcome. For those looking to Meet like minded STRONG men and women in this great state. The horde is closing in on us, Lets expand our networks",Public Group
92,White Delight South Florida,https://www.whitedate.net/dating-site-for-white-people-groups/white-delight-south-florida/,Anybody want to get together for a pool party. My friends and I are looking to make some new friends who share our political views.,Public Group
93,Finland Suomi,https://www.whitedate.net/dating-site-for-white-people-groups/finland-suomi/,Anyone with pro white views in Finland interesting in meeting upJos on on pro-white views Suomessa kiinnostaisko tapaaminen,Public Group
94,Great Lakes Nationalists,https://www.whitedate.net/dating-site-for-white-people-groups/great-lakes-nationalists/,For White European Americans of the Great Lakes or Midwest Region. ,Public Group
95,The White Movement,https://www.whitedate.net/dating-site-for-white-people-groups/the-white-movement/,"Were here are Monarchist and Loyalist, Conservatives and Traditionalist.To restore the crowns that once had many serve faithfully to the people.",Public Group
96,Ontario General /OG/,https://www.whitedate.net/dating-site-for-white-people-groups/ontario-general-og/,"General discussion for anything Ontario, the best province in Canada. Replies from GTA posters will be kindly considered and put in the que for further review.",Public Group
97,Whites In Idaho,https://www.whitedate.net/dating-site-for-white-people-groups/whites-in-idaho/,"Are you white and in Idaho? Please join this group so we can talk and meet each other.  (I just sent off my check to my first Idaho landlord, and I am moving from California to Southern Idaho.) The SPLC says that []",Public Group
98,VancouverIsland,https://www.whitedate.net/dating-site-for-white-people-groups/vancouver%f0%9f%8c%b2island/,"A group for Vancouver Island based Purebloodnot-dysgenic-GMO/vaxd-post-2019Whites. This group supports: Liberty, Truth, Eugenics, Whites, and Vancouver Island Independence (VII). We need to networkfind our Tri []",Public Group
99,Ohio White meetup,https://www.whitedate.net/dating-site-for-white-people-groups/ohio-white-meetup/,"A group for White nationalists and race-conscious parents in Ohio to meet, have social engagement and support one another",Public Group
100,Virginia,https://www.whitedate.net/dating-site-for-white-people-groups/virginia/,A group for those residing in the state of Virginia.,Public Group
101,Regional Group: US-VA,https://www.whitedate.net/dating-site-for-white-people-groups/regional-group-us-va/,This group is for WhiteDate members in the state of Virginia.,Public Group
102,Magna Europa,https://www.whitedate.net/dating-site-for-white-people-groups/magna-europa/,"General chats plus potential guides to things such as finance, learning languages, education, half-homesteading and how to change things at a personal to a surrounding level.",Private Group
103,~RoseGarden~,https://www.whitedate.net/dating-site-for-white-people-groups/rose%f0%9f%8c%b9garden/,A gathering place for Queen Rosettas courtiers and vassals.,Public Group
104,Preserve Our DNA,https://www.whitedate.net/dating-site-for-white-people-groups/preserve-our-dna/,"For a new DNA banking service aimed at Caucasians who, for whatever reason, could not pass on their genetic heritage but want to salvage their race given a possible future of white genocide.",Public Group
105,Genealogy,https://www.whitedate.net/dating-site-for-white-people-groups/genealogy/,"Who are you really. History provides context, and history is written in your DNA. This is a group for those who wish to dig into their genealogical roots and find the ancestry of those who have come before and []",Public Group
106,Traditional Living in Upstate South Carolina,https://www.whitedate.net/dating-site-for-white-people-groups/traditional-living-in-upstate-south-carolina/,This group is created for any traditional man or woman who lives in the Upstate to reach out to others with similar values/backgrounds in their respective surrounds. Feel free to courteously communicate about [],Public Group
107,The Greater World,https://www.whitedate.net/dating-site-for-white-people-groups/the-greater-world-508358758/,"This is a group aimed at everyone in the world to join, share their experiences, promote better practices, announce any events, and to advertise their businesses.It is encouraged for everyone to feel free to []",Public Group
108,Missouri Fascist Network,https://www.whitedate.net/dating-site-for-white-people-groups/missouri-fascist-network/,"Discussing fascism and merchant, to create a networked Missouri and new families for it.",Public Group
109,European Conservatives United,https://www.whitedate.net/dating-site-for-white-people-groups/european-conservatives-united/,This group is created in an effort to preserve the superior qualities of the white race. We must secure the existence of our people and a future for white children 1488!!,Private Group
